"country","year","pop","areakm2","gdpnom","flights...WB","hotels","hotrooms","receipt","ovnarriv","dayvisit","arram","arreur","arraus"
1,0,1187000,2040,9683734768.21192,12162,270.967213114754,7596.81176470588,732000000,656000,22000,98674.1344537815,198859.268907563,5353.73846153846
1,1,1189800,2040,4684000000,12269,95,9024,820000000,660000,15000,98674.1344537815,198859.268907563,5353.73846153846
1,2,1200200,2040,4911000000,12720,95,9623,829000000,682000,27000,98674.1344537815,198859.268907563,5353.73846153846
1,3,1210400,2040,5825000000,12969,97,9647,960000000,702000,20000,98674.1344537815,198859.268907563,5353.73846153846
1,4,1220500,2040,6594000000,14791,103,10640,1156000000,719000,20000,98674.1344537815,198859.268907563,5353.73846153846
1,5,1243000,2040,6489000000,14743,99,10497,1189000000,761000,20000,98674.1344537815,198859.268907563,5353.73846153846
1,6,1240800,2040,6732000000,13692,98,10666,1302000000,788000,19000,98674.1344537815,198859.268907563,5353.73846153846
1,7,1250900,2040,7792000000,12090,97,10857,1663000000,907000,26000,10000,596000,10969
1,8,1274200,2040,9641000000,11742,102,11488,1823000000,930000,40000,14000,609000,8974
1,9,1284300,2040,8824000000,11144,102,11456,1390000000,871000,19000,13000,580000,8106
1,10,1283400,2040,9706000000,11750,112,12075,1585000000,935000,21000,14000,606000,9255
1,11,1288700,2040,11244000000,12353,109,11925,1813000000,965000,18000,14000,610000,8822
1,12,1293500,2040,11466000000,12258,270.967213114754,7596.81176470588,689248716.216216,750799.044585987,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,0,491219.171779141,451,615000000,18966,270.967213114754,7596.81176470588,225000000,130000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,1,81000,451,622000000,20249,270.967213114754,7596.81176470588,221000000,130000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,2,84000,451,698000000,22449,270.967213114754,7596.81176470588,247000000,132000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,3,83000,451,706000000,18647,270.967213114754,7596.81176470588,258000000,122000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,4,83000,451,857000000,19281,270.967213114754,7596.81176470588,256000000,121000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,5,83000,451,937000000,19581,270.967213114754,7596.81176470588,269000000,129000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,6,85000,451,1037000000,19526,270.967213114754,7596.81176470588,323000000,141000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
2,7,85000,451,1039000000,20727,103,2710,396000000,161000,10000,4,130,3316
2,8,87000,451,962000000,11896,107,2360,408000000,159000,14000,4,125,3070
2,9,87000,451,841000000,11238,115,2490,349000000,158000,20000,5,122,2852
2,10,90000,451,973000000,12989,124,2510,352000000,175000,16000,4,132,3446
2,11,87000,451,1060000000,14202,132,7596.81176470588,378000000,194000,485411.111111111,5,144,3745
2,12,491219.171779141,451,1031000000,11878,270.967213114754,7596.81176470588,689248716.216216,750799.044585987,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,0,777000,440,788000000,62070,270.967213114754,7596.81176470588,291000000,207000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,1,792000,440,778000000,72001,270.967213114754,7596.81176470588,272000000,215000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,2,805000,440,807000000,63361,270.967213114754,7596.81176470588,274000000,218000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,3,817000,440,849000000,67163,270.967213114754,7596.81176470588,300000000,239000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,4,828000,440,905000000,25700,270.967213114754,7596.81176470588,337000000,246000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,5,839000,440,1002000000,26985,270.967213114754,7596.81176470588,309000000,245000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,6,849000,440,1141000000,26175,270.967213114754,7596.81176470588,327000000,254000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
3,7,859000,440,1296000000,27746,4157,7596.81176470588,338000000,262000,673000,141000,115000,5353.73846153846
3,8,869000,440,1355000000,28356,4673,7596.81176470588,334000000,266000,597000,152000,110000,5353.73846153846
3,9,878000,440,1211000000,26371,270.967213114754,7596.81176470588,305000000,234000,710000,138000,93000,5353.73846153846
3,10,887000,440,1136000000,39865,270.967213114754,7596.81176470588,298000000,230000,557000,137000,89000,5353.73846153846
3,11,818000,440,1125000000,36534,270.967213114754,7596.81176470588,312000000,241000,606000,145000,92000,5353.73846153846
3,12,491219.171779141,440,1176000000,33606,270.967213114754,7596.81176470588,689248716.216216,750799.044585987,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
4,0,101500,344,523000000,22425.2025316456,270.967213114754,7596.81176470588,93000000,129000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
4,1,101700,344,523000000,22425.2025316456,270.967213114754,7596.81176470588,83000000,123000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
4,2,102000,344,544000000,22425.2025316456,270.967213114754,7596.81176470588,91000000,132000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
4,3,102200,344,596000000,22425.2025316456,270.967213114754,7596.81176470588,104000000,142000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
4,4,102500,344,602000000,22425.2025316456,270.967213114754,7596.81176470588,86000000,134000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
